Date,Dayton,Tokyo
22-02-21,125,178
23-02-21,118,275
24-02-21,117,213
25-02-21,117,340
26-02-21,108,270
27-02-21,100,337
28-02-21,100,329
01-03-21,92,121
02-03-21,89,121
03-03-21,84,316
04-03-21,81,279
05-03-21,82,301
06-03-21,82,293
07-03-21,82,237
08-03-21,76,116
09-03-21,73,290
10-03-21,71,340
11-03-21,66,335
12-03-21,65,304
13-03-21,61,330
14-03-21,61,239
15-03-21,60,175
16-03-21,58,300
17-03-21,60,409
18-03-21,58,323
19-03-21,60,303
20-03-21,62,342
21-03-21,62,256
22-03-21,60,337
23-03-21,60,337
24-03-21,60,420
